sample_version,industry_level,industry_code,industry_label,parent_code,parent_label,industry_company_count,top10_keywords,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_1_score,keyword_2_score,keyword_3_score,keyword_4_score,keyword_5_score,keyword_6_score,keyword_7_score,keyword_8_score,keyword_9_score,keyword_10_score
hard_only,1,L1_001,汽车与交通设备,__ROOT__,ROOT,381,轴承、摩托车、铝合金、轮毂、变速器、总成、车轮、商用车、发动机、柴油发动机,轴承,摩托车,铝合金,轮毂,变速器,总成,车轮,商用车,发动机,柴油发动机,17.233683963791165,15.449956017221112,14.300172034954949,12.399556862271966,11.717066797021046,10.715018439786443,9.737020392485245,9.223469110757517,9.119377531340785,8.943896080917805
hard_only,1,L1_002,基础化工与新材料,__ROOT__,ROOT,502,农药、烧碱、原药、聚醚、中间体、氯碱、农药行业、聚氨酯、农药原药、划分基本,农药,烧碱,原药,聚醚,中间体,氯碱,农药行业,聚氨酯,农药原药,划分基本,39.47545419234448,27.047629578960784,26.13885352285663,16.79932472885401,16.645851889378914,15.626407662123572,15.091160685636293,14.410650101678623,14.283855585054978,14.248917070743705
hard_only,1,L1_003,数字技术产业,__ROOT__,ROOT,439,高速公路、从事通信、网络安全产品、密码、网络安全、通信网络、性能指标从事、收费公路、安全服务、智慧医院,高速公路,从事通信,网络安全产品,密码,网络安全,通信网络,性能指标从事,收费公路,安全服务,智慧医院,16.674154308193184,13.565562779628419,13.45553487076829,10.520734099142752,10.19137519433235,9.432690525959268,8.875779942914303,7.333464665330015,7.152804429954411,6.979463341745018
hard_only,1,L1_004,医药与医疗服务,__ROOT__,ROOT,351,原料药、药品、中间体、中药、中成药、药物、制剂、CDMO、医药商业、注射液,原料药,药品,中间体,中药,中成药,药物,制剂,CDMO,医药商业,注射液,78.40512370367681,36.87810246121773,35.70047582001199,27.157700302815584,26.165570520149878,23.240113385626632,19.839434470355478,18.692317421335183,18.260923549599752,17.444280757094788
hard_only,1,L1_005,环保治理与环境服务,__ROOT__,ROOT,299,污水处理、垃圾焚烧发电、生态修复、供水、危废、垃圾、垃圾焚烧、污泥、资源化、生活垃圾焚烧,污水处理,垃圾焚烧发电,生态修复,供水,危废,垃圾,垃圾焚烧,污泥,资源化,生活垃圾焚烧,22.199495603460065,14.894053133400075,14.70583661679255,14.511183407423133,13.927053314080764,13.780392387322877,13.42265382035848,12.62398653749745,11.235927602625424,10.063929770612116
hard_only,1,L1_006,电子智能装备,__ROOT__,ROOT,291,连接器、数控机床、精密结构件、伺服系统、机床、电容器、连接器产品、结构件、零组件、连接器行业,连接器,数控机床,精密结构件,伺服系统,机床,电容器,连接器产品,结构件,零组件,连接器行业,17.834061085278815,9.84660686337048,8.975817585032567,8.594194772041892,7.770139711252558,7.036331676319478,6.705994906958019,6.435381173024749,6.11488101042023,5.964832983868129
hard_only,1,L1_007,食品与农业,__ROOT__,ROOT,296,饲料、养殖、白酒、生猪、乳制品、疫苗、屠宰、生猪养殖、类型构成、肉制品,饲料,养殖,白酒,生猪,乳制品,疫苗,屠宰,生猪养殖,类型构成,肉制品,32.564809376101806,25.18333201490308,24.1797951515135,22.27047832737277,22.15869125990444,21.51331829415169,21.442984360708728,21.10734341314671,15.407829188267357,14.618622345293108
hard_only,1,L1_008,新能源电力设备,__ROOT__,ROOT,262,电缆、电线电缆、超硬材料、输配电控制、超硬、电线电缆行业、输配电、光伏电站、金刚石、变压器,电缆,电线电缆,超硬材料,输配电控制,超硬,电线电缆行业,输配电,光伏电站,金刚石,变压器,17.99793557096126,14.664171000025272,11.825518070815066,11.511528021652937,11.394680502215754,10.94387428051781,10.815829809806536,10.497027319602095,10.324888753627478,9.569429057328565
hard_only,1,L1_009,半导体与显示,__ROOT__,ROOT,230,LED、半导体设备、显示面板、显示模组、照明产品、光刻胶、电子化学品、背光、OLED、显示行业,LED,半导体设备,显示面板,显示模组,照明产品,光刻胶,电子化学品,背光,OLED,显示行业,23.985740115049367,18.011012920425337,14.140734246372212,11.319267740977683,10.23417664045799,9.646852485571465,9.231613817383234,8.976621764476716,8.69297062445601,7.927346985327326
hard_only,1,L1_010,国防军工,__ROOT__,ROOT,219,军方、航空发动机、航空、高温合金、军品、复合材料、高温合金材料、军用、城轨、北斗,军方,航空发动机,航空,高温合金,军品,复合材料,高温合金材料,军用,城轨,北斗,13.284177560502215,12.553146193876566,9.019208796218757,8.76754743454178,8.07842504043565,6.588622976606482,6.189927205017007,6.160761295576535,6.040258659687009,5.816010698273413
